ID,Name,Tags,Link
1490F,Equalize the Array,"binary search, data structures, greedy, math, sortings",https://codeforces.com/contest/1490/problem/F
1526C2,Potions (Hard Version),"data structures, greedy",https://codeforces.com/contest/1526/problem/C2
1526C1,Potions (Easy Version),"brute force, data structures, dp, greedy",https://codeforces.com/contest/1526/problem/C1
1520D,Same Differences,"data structures, hashing, math",https://codeforces.com/contest/1520/problem/D
1374D,Zero Remainder Array,"math, sortings, two pointers",https://codeforces.com/contest/1374/problem/D
1760F,Quests,"binary search, greedy, sortings",https://codeforces.com/contest/1760/problem/F
1904B,Collecting Game,"binary search, dp, greedy, sortings, two pointers",https://codeforces.com/contest/1904/problem/B
1612C,Chat Ban,"binary search, math",https://codeforces.com/contest/1612/problem/C
1610A,Anti Light's Cell Guessing,math,https://codeforces.com/contest/1610/problem/A
1610B,Kalindrome Array,"greedy, two pointers",https://codeforces.com/contest/1610/problem/B
1426C,Increase and Copy,"binary search, constructive algorithms, math",https://codeforces.com/contest/1426/problem/C
1006C,Three Parts of the Array,"binary search, data structures, two pointers",https://codeforces.com/contest/1006/problem/C
1692E,Binary Deque,"binary search, implementation, two pointers",https://codeforces.com/contest/1692/problem/E
1203C,Common Divisors,"implementation, math",https://codeforces.com/contest/1203/problem/C
1873F,Money Trees,"binary search, greedy, math, two pointers",https://codeforces.com/contest/1873/problem/F
1829D,Gold Rush,"brute force, dfs and similar, dp, implementation",https://codeforces.com/contest/1829/problem/D
313B,Ilya and Queries,"dp, implementation",https://codeforces.com/contest/313/problem/B
1904C,Array Game,"binary search, brute force, data structures, sortings, two pointers",https://codeforces.com/contest/1904/problem/C
2204C,Spring,"math, number theory",https://codeforces.com/contest/2204/problem/C
2230B,Digit String,"greedy, implementation, math",https://codeforces.com/contest/2230/problem/B
2231A,Construct an Array,constructive algorithms,https://codeforces.com/contest/2231/problem/A
1820B,JoJo's Incredible Adventures,"math, strings, two pointers",https://codeforces.com/contest/1820/problem/B
1793C,Dora and Search,"constructive algorithms, data structures, two pointers",https://codeforces.com/contest/1793/problem/C
1447B,Numbers Box,"greedy, math",https://codeforces.com/contest/1447/problem/B
1807G2,Subsequence Addition (Hard Version),"bitmasks, dp, greedy, implementation, sortings",https://codeforces.com/contest/1807/problem/G2
1827A,Counting Orders,"combinatorics, math, sortings, two pointers",https://codeforces.com/contest/1827/problem/A
2217A,The Equalizer,math,https://codeforces.com/contest/2217/problem/A
1797B,Li Hua and Pattern,"constructive algorithms, greedy",https://codeforces.com/contest/1797/problem/B
1791G1,Teleporters (Easy Version),"greedy, sortings",https://codeforces.com/contest/1791/problem/G1
2209B,Array,greedy,https://codeforces.com/contest/2209/problem/B
50A,Domino piling,"greedy, math",https://codeforces.com/contest/50/problem/A
2193A,DBMB and the Array,"brute force, math",https://codeforces.com/contest/2193/problem/A
1742D,Coprime,"brute force, greedy, number theory",https://codeforces.com/contest/1742/problem/D
